Time,UE_Index,X,Y
1,0,50,10
1,1,55,10
1,2,60,10
1,3,65,10
1,4,70,10
1,5,75,10
1,6,80,10
1,7,85,10
1,8,90,10
1,9,95,10
1,10,100,10
1,11,105,10
1,12,110,10
1,13,115,10
1,14,120,10
1,15,125,10
1,16,550,-10
1,17,555,-10
1,18,560,-10
1,19,565,-10
1,20,570,-10
1,21,575,-10
1,22,580,-10
1,23,585,-10
1,24,590,-10
1,25,595,-10
1,26,600,-10
1,27,605,-10
1,28,610,-10
1,29,615,-10
1,30,620,-10
1,31,625,-10
180,0,550,20
180,1,555,20
180,2,560,20
180,3,565,20
180,4,70,10
180,5,75,10
180,6,80,10
180,7,85,10
180,8,90,10
180,9,95,10
180,10,100,10
180,11,105,10
180,12,110,10
180,13,115,10
180,14,120,10
180,15,125,10
180,16,50,-20
180,17,55,-20
180,18,60,-20
180,19,65,-20
180,20,70,-20
180,21,75,-20
180,22,80,-20
180,23,85,-20
180,24,590,-10
180,25,595,-10
180,26,600,-10
180,27,605,-10
180,28,610,-10
180,29,615,-10
180,30,620,-10
180,31,625,-10
360,0,550,30
360,1,555,30
360,2,560,30
360,3,565,30
360,4,570,30
360,5,575,30
360,6,580,30
360,7,585,30
360,8,90,10
360,9,95,10
360,10,100,10
360,11,105,10
360,12,110,10
360,13,115,10
360,14,120,10
360,15,125,10
360,16,50,30
360,17,55,30
360,18,60,30
360,19,65,30
360,20,70,30
360,21,75,30
360,22,80,30
360,23,85,30
360,24,590,-10
360,25,595,-10
360,26,600,-10
360,27,605,-10
360,28,610,-10
360,29,615,-10
360,30,620,-10
360,31,625,-10
600,0,550,30
600,1,555,30
600,2,560,30
600,3,565,30
600,4,570,30
600,5,575,30
600,6,580,30
600,7,585,30
600,8,90,10
600,9,95,10
600,10,100,10
600,11,105,10
600,12,110,10
600,13,115,10
600,14,120,10
600,15,125,10
600,16,50,30
600,17,55,30
600,18,60,30
600,19,65,30
600,20,70,30
600,21,75,30
600,22,80,30
600,23,85,30
600,24,590,-10
600,25,595,-10
600,26,600,-10
600,27,605,-10
600,28,610,-10
600,29,615,-10
600,30,620,-10
600,31,625,-10
