Time,STA_ID,IP,New_AP
10,4,10.1.1.5,AP2
10,10,10.1.1.11,AP2
10,11,10.1.1.12,AP2
10,15,10.1.1.16,AP2
10,23,10.1.1.24,AP1
10,16,10.1.1.17,AP1
10,28,10.1.1.29,AP1
10,22,10.1.1.23,AP1
10,26,10.1.1.27,AP1
10,19,10.1.1.20,AP1
10,24,10.1.1.25,AP1
10,30,10.1.1.31,AP1
20,2,10.1.1.3,AP2
20,12,10.1.1.13,AP2
20,7,10.1.1.8,AP2
20,5,10.1.1.6,AP2
20,0,10.1.1.1,AP2
20,19,10.1.1.20,AP2
20,24,10.1.1.25,AP2
20,9,10.1.1.10,AP2
20,23,10.1.1.24,AP2
20,28,10.1.1.29,AP2
20,27,10.1.1.28,AP1
20,31,10.1.1.32,AP1
20,18,10.1.1.19,AP1
20,11,10.1.1.12,AP1
20,4,10.1.1.5,AP1
20,29,10.1.1.30,AP1
